Name,AppID,protonBestReportedTier,protonConfidence,protonScore,protonTier,protonTotal,protonTrendingTier
Rust,252490,platinum,strong,0.26,bronze,300,bronze
R.E.P.O.,3241660,platinum,strong,0.78,platinum,43,gold
Grand Theft Auto V Legacy,271590,platinum,strong,0.71,gold,2205,gold
Marvel Rivals,2767030,platinum,strong,0.78,gold,1071,gold
Rise of the Ronin,1340990,platinum,low,0.3,gold,4,gold
Hero Siege,269210,platinum,good,0.58,gold,26,gold
WWE 2K25,2878960,platinum,low,0.65,platinum,7,platinum
Warborne: Above Ashes Playtest,3145660,,,,,,
The Walking Dead: The Telltale Definitive Series,1449690,platinum,strong,0.79,platinum,33,platinum
Atelier Yumia: The Alchemist of Memories & the Envisioned Land - Demo,3473170,,,,,,
Spiritfarer®: Farewell Edition,972660,platinum,strong,0.84,platinum,38,platinum
Undertale,391540,platinum,strong,0.82,platinum,56,platinum
Enter the Gungeon,311690,platinum,strong,0.85,platinum,62,platinum
DOOM,379720,platinum,strong,0.86,platinum,1080,platinum
That's not my Neighbor,3431040,platinum,inadequate,0.21,pending,1,pending
Gravity Field,1425250,,,,,,
Heavy Rain,960910,platinum,strong,0.52,gold,65,gold
Where they Go Demo,3537790,,,,,,
Feral Metaverse Demo,3532440,,,,,,
Humiliation Dungeon Survivors Demo,3529880,,,,,,
Regeneration Demo,3530090,,,,,,
Medieval Legacy Demo,3529350,,,,,,
EXONAUTIS Demo,3529360,,,,,,
Dice With Death Demo,3529120,,,,,,
Planet Hoarders Demo,3528250,,,,,,
Little Library Demo,3526650,,,,,,
Dark Dominance ~Chain Control~ Demo,3524630,,,,,,
Cave Path Demo,3522900,,,,,,
Ostrich Farm Demo,3521550,,,,,,
Ritual Party Demo,3520140,,,,,,
Buggos 2 Demo,3518880,,,,,,
GrimmKitchen Demo,3518910,,,,,,
Zoominoes Demo,3518930,,,,,,
幸运领主：命运的推币机 Demo,3516680,,,,,,
Metal Hunter Demo,3512220,,,,,,
Remote Reaper: FPV Drone Demo,3512560,,,,,,
the dreamland of lady zombie Demo,3508710,,,,,,
暗夜游侠 Demo,3508160,,,,,,
My Bimbo Dream Demo,3503560,,,,,,
龙之远征 Demo,3503600,,,,,,
文字遊戯(日本語版) Demo,3503000,,,,,,
Poly TD Demo,3500730,,,,,,
Planet Lust Demo,3500360,,,,,,
Moadra Demo,3499730,,,,,,
Dice A Million Demo,3497720,,,,,,
Nebulock Demo,3492970,,,,,,
Mechaknights Legends Demo,3491320,,,,,,
LOVE Hotel Simulator 🏩 Demo,3490200,,,,,,
MASSAGE MY EX-BULLY Demo,3489180,,,,,,
Blood Crawler Demo,3489190,,,,,,
Dino Topia Demo,3488860,,,,,,
Star Crafter Demo,3487900,,,,,,
江城大赢家 Demo,3487440,,,,,,
Dragon Song Tavern: Cozy & Adventurous Demo,3486510,,,,,,
Color Escape 🌈 Demo,3486800,,,,,,
Office Affairs : Executive Decisions Demo,3485600,,,,,,
Total Chaos Demo,3482880,,,,,,
Red October Demo,3480820,,,,,,
Sex &amp;amp; Coffee ☕️🤎 Demo,3479130,,,,,,
Nice Day for Fishing Demo,3473600,,,,,,
Piece by Piece Demo,3468410,,,,,,
ZombieCards Demo,3467980,,,,,,
Bloxpath Demo,3468010,,,,,,
Hotel Owner Simulator Demo,3468150,,,,,,
BLACKSHARD Demo,3462270,,,,,,
Yasuke Simulator Demo,3458990,,,,,,
Monster Care Simulator Demo,3457180,,,,,,
Guilty as Sock! Demo,3457300,,,,,,
Margaret’s sin Demo,3456680,,,,,,
Devil's Terminal Demo,3456750,,,,,,
野兽岛 Demo,3455310,,,,,,
凶寓 Demo,3452330,,,,,,
In Your Shoes Demo,3450070,,,,,,
Death Ring: Second Impact Demo,3450200,,,,,,
Starless Abyss Demo,3450230,,,,,,
摸猫美食街 Demo,3446320,,,,,,
Book Bound Demo,3442120,,,,,,
HorrorCore Demo,3441070,,,,,,
星际建造局 Demo,3439270,,,,,,
All Aboard! The Train Defense Express Demo,3436850,,,,,,
Airframe Ultra Demo,3434860,,,,,,
Sex Wish: A Deliciously Naughty Porn VN Demo,3433710,,,,,,
转生魔塔 Demo,3430970,,,,,,
Gummy Nightmares Demo,3430370,,,,,,
Restaurant Owner: A Restaurant Simulator Demo,3429100,,,,,,
Ginger Demo,3428230,,,,,,
Thesis of Love Demo,3421870,,,,,,
Clutchtime™: Basketball Deckbuilder Demo,3421020,,,,,,
Suspense Madman's Dreams Demo,3419840,,,,,,
Realms of Madness Demo,3417770,,,,,,
Stoneshard Demo,3413960,,,,,,
书恋与君：美少女教我追系花 Demo,3413180,,,,,,
无尽救援 EndlessSalvation Demo,3409850,,,,,,
Axyn Adventure Demo,3402650,,,,,,
The Three Kingdoms: The Tales of Jian An Demo,3380050,,,,,,
出将入相 Demo,3576160,,,,,,
Chuck Nolemland: The Starving Kid Demo,3567370,,,,,,
Fishing The Abyss DEMO,3553980,,,,,,
"Mythos, Book One Demo",3547680,,,,,,
There are no Orcs Demo,3543930,,,,,,
Qoob Demo,3541060,,,,,,
Bug Hunters Demo,3539510,,,,,,
Space for Sale Demo,2701850,,,,,,
Crusader Kings Complete,204940,platinum,low,0.51,platinum,5,platinum
Pickers,204440,platinum,low,0.48,platinum,7,platinum
America's Army: Proving Grounds,203290,platinum,good,0.46,gold,28,gold
Fortune Summoners: Secret of the Elemental Stone,203510,platinum,moderate,0.44,gold,15,gold
Warlock - Master of the Arcane,203630,platinum,good,0.48,gold,23,platinum
Hegemony Gold: Wars of Ancient Greece,202690,platinum,inadequate,0.34,pending,3,pending
Call of Duty: Black Ops II - Multiplayer,202990,platinum,good,0.25,silver,16,gold
Impire,202130,platinum,low,0.44,platinum,3,platinum
Sonic Generations Demo,202290,platinum,low,0.09,silver,3,silver
Ridge Racer™ Unbounded,202310,platinum,good,0.69,platinum,31,platinum
Beta Access to the New Steam Community,202351,,,,,,
Assassin's Creed Revelations,201870,platinum,strong,0.58,gold,69,gold
Toki Tori 2+,201420,platinum,low,0.51,platinum,5,platinum
Serious Sam: The Random Encounter,201480,silver,low,0.07,bronze,8,bronze
Revelations 2012,201070,platinum,inadequate,0.34,pending,2,pending
PROTOTYPE 2,115320,platinum,strong,0.54,gold,64,gold
